,v1,v2,v3,v4,a,ndt1,ndt2,ndt3,ndt4,alpha,mean_log_rt,alpha_arc_box,acc_arc_box
v1,,0.7937503065924183,-0.6835170589048427,-0.6923415424328522,0.09416467975583107,-0.004312720682769068,-0.018816176286345396,-0.0290510662425391,-0.11324091228030199,0.24051683513637245,-0.32135474230646577,0.18391593480548815,0.5729279622741806
v2,0.7937503065924183,,-0.7373422829485036,-0.7185625195481619,0.3085705727633391,-0.034335905849577075,0.13173206045646413,0.08588116778956702,-0.001484585967737842,0.4175706876798084,-0.1135397688052102,0.3509617104126648,0.706274373216253
v3,-0.6835170589048427,-0.7373422829485036,,0.8773110426152332,-0.3256396582814783,-0.06906636221886533,-0.13564722751918576,-0.19591905348466435,-0.07170049793413621,-0.4213168314850985,0.09994302410046453,-0.399810447864906,-0.7690649218332661
v4,-0.6923415424328522,-0.7185625195481619,0.8773110426152332,,-0.253274245049193,-0.03035604406057695,-0.10568786897039385,-0.0747651641943726,-0.12634102189193575,-0.36481605002809564,0.16815266633338352,-0.3358054983298751,-0.713493212503728
a,0.09416467975583107,0.3085705727633391,-0.3256396582814783,-0.253274245049193,,0.14934573298112291,0.27580404214801696,0.3951681793887657,0.3338401490017023,0.6566827972328118,0.7931708401683133,0.6482578167038002,0.7684359605755184
ndt1,-0.004312720682769068,-0.034335905849577075,-0.06906636221886533,-0.03035604406057695,0.14934573298112291,,0.8568552077064829,0.7719356249230511,0.7598487315294377,0.24335857570687824,0.44387066218775784,0.196374053291849,0.1286125404628519
ndt2,-0.018816176286345396,0.13173206045646413,-0.13564722751918576,-0.10568786897039385,0.27580404214801696,0.8568552077064829,,0.7741389029574887,0.7467292517717378,0.33630915332378075,0.5091611225215372,0.2696479189365307,0.3076728112929391
ndt3,-0.0290510662425391,0.08588116778956702,-0.19591905348466435,-0.0747651641943726,0.3951681793887657,0.7719356249230511,0.7741389029574887,,0.8659833006468173,0.4740528264334125,0.6500204201174948,0.3917304719408259,0.3684550035746086
ndt4,-0.11324091228030199,-0.001484585967737842,-0.07170049793413621,-0.12634102189193575,0.3338401490017023,0.7598487315294377,0.7467292517717378,0.8659833006468173,,0.39022683401867886,0.6558339857602151,0.34842085844650883,0.29873222205425976
alpha,0.24051683513637245,0.4175706876798084,-0.4213168314850985,-0.36481605002809564,0.6566827972328118,0.24335857570687824,0.33630915332378075,0.4740528264334125,0.39022683401867886,,0.4838802174193494,0.9649244841703764,0.7040347139835341
mean_log_rt,-0.32135474230646577,-0.1135397688052102,0.09994302410046453,0.16815266633338352,0.7931708401683133,0.44387066218775784,0.5091611225215372,0.6500204201174948,0.6558339857602151,0.4838802174193494,,0.4858119345892792,0.41785620742664675
alpha_arc_box,0.18391593480548815,0.3509617104126648,-0.399810447864906,-0.3358054983298751,0.6482578167038002,0.196374053291849,0.2696479189365307,0.3917304719408259,0.34842085844650883,0.9649244841703764,0.4858119345892792,,0.7225245921309873
acc_arc_box,0.5729279622741806,0.706274373216253,-0.7690649218332661,-0.713493212503728,0.7684359605755184,0.1286125404628519,0.3076728112929391,0.3684550035746086,0.29873222205425976,0.7040347139835341,0.41785620742664675,0.7225245921309873,
