,a_mean,v1_mean,ndt_mean,alpha_mean,sndt_mean,zr_mean
s1_word,0.0603,-0.4093,0.2242,-0.014,0.2429,0.0178
s1_word,0.0167,-0.4971,0.1095,-0.0083,0.1532,-0.1723
s1_word,-0.3949,-0.4418,0.261,-0.2686,0.424,-0.1128
s1_word,-0.3959,-0.5939,0.3287,-0.0041,0.3525,-0.2265
average,-0.17845,-0.485525,0.23085,-0.07375,0.29315,-0.12345
