,v1,v2,a,ndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
v1,,-0.7517395799087357,0.6083939670006616,-0.2145117452714271,0.17082041037877804,0.1121155286371641,-0.39358713008682433,0.8950954342394513
v2,-0.7517395799087357,,-0.4838792407152411,0.23180990777964053,0.0037373947956082444,0.0674170245274628,0.522947182636585,-0.79193781020316
a,0.6083939670006616,-0.4838792407152411,,-0.20357952593035233,0.43248518870756614,0.4348080839399964,0.1769986107460543,0.7052066747278796
ndt,-0.2145117452714271,0.23180990777964053,-0.20357952593035233,,0.3491076318781734,0.30102456030561087,0.5746529447932247,-0.09533687750921557
alpha,0.17082041037877804,0.0037373947956082444,0.43248518870756614,0.3491076318781734,,0.959961788330084,0.5162717273000721,0.33167696947708514
alpha_arc_box,0.1121155286371641,0.0674170245274628,0.4348080839399964,0.30102456030561087,0.959961788330084,,0.5461576872536803,0.31430341470528694
mean_log_rt,-0.39358713008682433,0.522947182636585,0.1769986107460543,0.5746529447932247,0.5162717273000721,0.5461576872536803,,-0.1996610876661265
acc_arc_box,0.8950954342394513,-0.79193781020316,0.7052066747278796,-0.09533687750921557,0.33167696947708514,0.31430341470528694,-0.1996610876661265,
