,par,v1,v2,a,ndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
0,v1,1.0,-0.69,0.15,-0.01,0.25,0.21,-0.36,0.62
1,v2,-0.69,1.0,-0.2,0.15,-0.11,-0.05,0.38,-0.65
2,a,0.15,-0.2,1.0,-0.2,0.18,0.21,0.55,0.39
3,ndt,-0.01,0.15,-0.2,1.0,0.61,0.61,0.53,0.28
4,alpha,0.25,-0.11,0.18,0.61,1.0,0.98,0.4,0.67
5,alpha_arc_box,0.21,-0.05,0.21,0.61,0.98,1.0,0.46,0.66
6,mean_log_rt,-0.36,0.38,0.55,0.53,0.4,0.46,1.0,0.16
7,acc_arc_box,0.62,-0.65,0.39,0.28,0.67,0.66,0.16,1.0
