,v1,v2,a,ndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
v1,,-0.732649238734461,0.27477137330341483,-0.18925530736670565,0.06272660430573704,0.029202403720036834,-0.33497294950516604,0.6904631924544347
v2,-0.732649238734461,,-0.23181425151935942,0.06897103914375531,-0.24845504015065925,-0.2158171871249064,0.3133881272078707,-0.6517529232972182
a,0.27477137330341483,-0.23181425151935942,,-0.3723071117591535,0.03206573204352244,0.057628384352592266,0.46831386646179224,0.3012753872399741
ndt,-0.18925530736670565,0.06897103914375531,-0.3723071117591535,,0.6008510556282542,0.5674421488030138,0.44723415802089805,0.3474677935187299
alpha,0.06272660430573704,-0.24845504015065925,0.03206573204352244,0.6008510556282542,,0.9860054104631023,0.35221647623854446,0.6036309580143879
alpha_arc_box,0.029202403720036834,-0.2158171871249064,0.057628384352592266,0.5674421488030138,0.9860054104631023,,0.4115143359275791,0.6015715835619884
mean_log_rt,-0.33497294950516604,0.3133881272078707,0.46831386646179224,0.44723415802089805,0.35221647623854446,0.4115143359275791,,0.13886464838304133
acc_arc_box,0.6904631924544347,-0.6517529232972182,0.3012753872399741,0.3474677935187299,0.6036309580143879,0.6015715835619884,0.13886464838304133,
