,par,v1,v2,a,ndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
0,v1,1.0,-0.704,0.392,-0.124,0.121,0.096,-0.352,0.761
1,v2,-0.704,1.0,-0.322,0.194,-0.062,-0.028,0.427,-0.692
2,a,0.392,-0.322,1.0,-0.209,0.279,0.295,0.442,0.551
3,ndt,-0.124,0.194,-0.209,1.0,0.466,0.413,0.557,0.1
4,alpha,0.121,-0.062,0.279,0.466,1.0,0.969,0.419,0.471
5,alpha_arc_box,0.096,-0.028,0.295,0.413,0.969,1.0,0.455,0.478
6,mean_log_rt,-0.352,0.427,0.442,0.557,0.419,0.455,1.0,0.016
7,acc_arc_box,0.761,-0.692,0.551,0.1,0.471,0.478,0.016,1.0
