,v1,v2,a,ndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
v1,,-0.7076204106189897,0.5705884126014933,-0.11976279948840697,0.04787915490777638,0.08705825624041795,-0.28634764967440357,0.9041643422731813
v2,-0.7076204106189897,,-0.4688454455501821,0.3437651436016714,0.08969025638172791,0.039243829143001216,0.4458065875413624,-0.7256553954089435
a,0.5705884126014933,-0.4688454455501821,,-0.1294858227298732,0.3330278074373082,0.336974231236529,0.49293071593771504,0.7320796816115759
ndt,-0.11976279948840697,0.3437651436016714,-0.1294858227298732,,0.2684058421187863,0.15213136554744203,0.5983280019391312,-0.11452575232159123
alpha,0.04787915490777638,0.08969025638172791,0.3330278074373082,0.2684058421187863,,0.9574333557888719,0.32498524339778384,0.253257778500744
alpha_arc_box,0.08705825624041795,0.039243829143001216,0.336974231236529,0.15213136554744203,0.9574333557888719,,0.33009708502534,0.30981471055184195
mean_log_rt,-0.28634764967440357,0.4458065875413624,0.49293071593771504,0.5983280019391312,0.32498524339778384,0.33009708502534,,-0.05779846787307981
acc_arc_box,0.9041643422731813,-0.7256553954089435,0.7320796816115759,-0.11452575232159123,0.253257778500744,0.30981471055184195,-0.05779846787307981,
