,v1,v2,a,ndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
v1,,-0.5994253435533066,0.09023441821319357,-0.16154324100704964,-0.010557038673044689,-0.09790252054712338,-0.4305800442609895,0.5825441803400515
v2,-0.5994253435533066,,-0.11608338758905674,0.027378101992524093,-0.12823184179910277,-0.08643313941021893,0.40356790736419695,-0.5257096282507844
a,0.09023441821319357,-0.11608338758905674,,-0.13986995209609995,0.30160211379702173,0.3270847908150676,0.571785024825429,0.4516313007262363
ndt,-0.16154324100704964,0.027378101992524093,-0.13986995209609995,,0.6153122756386044,0.6123988404762537,0.6064178050373,0.261160356176287
alpha,-0.010557038673044689,-0.12823184179910277,0.30160211379702173,0.6153122756386044,,0.9692759152564998,0.530284388269869,0.6528828647061883
alpha_arc_box,-0.09790252054712338,-0.08643313941021893,0.3270847908150676,0.6123988404762537,0.9692759152564998,,0.5731856093987152,0.6434361755342058
mean_log_rt,-0.4305800442609895,0.40356790736419695,0.571785024825429,0.6064178050373,0.530284388269869,0.5731856093987152,,0.18071941207068343
acc_arc_box,0.5825441803400515,-0.5257096282507844,0.4516313007262363,0.261160356176287,0.6528828647061883,0.6434361755342058,0.18071941207068343,
