,v1,v2,zr,a,ndt,alpha_arc_box
v1,,-0.5089884114869714,-0.04056576549750403,-0.04776068065090992,-0.2104782251627772,-0.14121607690103366
v2,-0.5089884114869714,,-0.3788719982118364,0.07488511746764366,-0.01722027650335897,-0.14025277138819245
zr,-0.04056576549750403,-0.3788719982118364,,0.005689242452153396,-0.050880656660077905,-0.051756399806497655
a,-0.04776068065090992,0.07488511746764366,0.005689242452153396,,0.14275004560675383,0.5551136113466747
ndt,-0.2104782251627772,-0.01722027650335897,-0.050880656660077905,0.14275004560675383,,0.42601426642967144
alpha_arc_box,-0.14121607690103366,-0.14025277138819245,-0.051756399806497655,0.5551136113466747,0.42601426642967144,
