,v1,v2,zr,a,ndt,sndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
v1,,-0.6714211709907812,-0.09728447559877235,0.4804685701616079,-0.38187019568285474,-0.47596924995254225,-0.31306701317266206,-0.3228060840344971,-0.4507260749371111,0.8554442540853375
v2,-0.6714211709907812,,-0.14372835765048084,-0.266716671570471,0.22468418845725438,0.38214237166415344,0.19347426804621504,0.19692876104253126,0.4988010296663316,-0.7802835699470423
zr,-0.09728447559877235,-0.14372835765048084,,0.08154775546349391,0.1633615342737417,-0.054987456097652834,0.17183928939304954,0.16762542319577156,0.21235869378551758,0.1245695119260137
a,0.4804685701616079,-0.266716671570471,0.08154775546349391,,-0.29925618753214905,-0.4877403326155896,0.11292740893595947,0.1570887795850581,0.33272535131407277,0.6607127500355849
ndt,-0.38187019568285474,0.22468418845725438,0.1633615342737417,-0.29925618753214905,,0.5009009059770485,0.35838221787389474,0.33031286876753346,0.5391198687187224,-0.31498333893904684
sndt,-0.47596924995254225,0.38214237166415344,-0.054987456097652834,-0.4877403326155896,0.5009009059770485,,-0.017441560086248302,-0.052086298863632544,0.1611129657851146,-0.6132349655919183
alpha,-0.31306701317266206,0.19347426804621504,0.17183928939304954,0.11292740893595947,0.35838221787389474,-0.017441560086248302,,0.9844344019684579,0.4799894369489311,-0.06441725840718003
alpha_arc_box,-0.3228060840344971,0.19692876104253126,0.16762542319577156,0.1570887795850581,0.33031286876753346,-0.052086298863632544,0.9844344019684579,,0.506016116885991,-0.052161695900853976
mean_log_rt,-0.4507260749371111,0.4988010296663316,0.21235869378551758,0.33272535131407277,0.5391198687187224,0.1611129657851146,0.4799894369489311,0.506016116885991,,-0.19966108776488595
acc_arc_box,0.8554442540853375,-0.7802835699470423,0.1245695119260137,0.6607127500355849,-0.31498333893904684,-0.6132349655919183,-0.06441725840718003,-0.052161695900853976,-0.19966108776488595,
